problem,crossoverProb,mutationProb,nMutatedGenes,maxISteps,execution,nGenerations,nFitnessEvaluations,bestFitness
./problems/s100, 0.600000, 0.010000, 1, 1000000, 0, -1, 24025, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 1, -1, 390, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 2, -1, 7808, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 3, -1, 342, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 4, -1, 342, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 5, -1, 1107, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 6, -1, 1246, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 7, -1, 253, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 8, -1, 30193, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 9, -1, 1029, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 10, -1, 7007, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 11, -1, 672, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 12, -1, 249, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 13, -1, 18773, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 14, -1, 7395, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 15, -1, 2378, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 16, -1, 452, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 17, -1, 3507, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 18, -1, 414, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 19, -1, 18899, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 20, -1, 669, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 21, -1, 931, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 22, -1, 1418, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 23, -1, 2059, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 24, -1, 9217, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 25, -1, 1140, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 26, -1, 16667, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 27, -1, 656, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 28, -1, 531, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 29, -1, 7476, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 30, -1, 6528, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 31, -1, 101, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 32, -1, 2353, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 33, -1, 34427, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 34, -1, 503, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 35, -1, 920, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 36, -1, 3127, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 37, -1, 133, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 38, -1, 482, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 39, -1, 6326, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 40, -1, 5297, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 41, -1, 4248, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 42, -1, 770, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 43, -1, 595, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 44, -1, 932, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 45, -1, 2522, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 46, -1, 5329, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 47, -1, 17060, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 48, -1, 1068, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 1000000, 49, -1, 305, 19569.000000
