problem,crossoverProb,mutationProb,nMutatedGenes,maxISteps,execution,nGenerations,nFitnessEvaluations,bestFitness
./problems/s300, 0.600000, 0.003333, 1, 1500, 0, -1, 1600, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 1, -1, 1600, 78681.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 2, -1, 1600, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 3, -1, 1600, 78679.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 4, -1, 1600, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 5, -1, 1600, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 6, -1, 1600, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 7, -1, 1600, 78674.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 8, -1, 1600, 78681.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 9, -1, 1600, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 10, -1, 1600, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 11, -1, 1600, 78681.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 12, -1, 1600, 78679.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 13, -1, 1600, 78677.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 14, -1, 1600, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 15, -1, 1600, 78679.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 16, -1, 1600, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 17, -1, 1600, 78679.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 18, -1, 1600, 78680.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 19, -1, 1600, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 20, -1, 1600, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 21, -1, 1600, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 22, -1, 1600, 78679.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 23, -1, 1600, 78678.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 24, -1, 1600, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 25, -1, 1600, 78679.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 26, -1, 1600, 78680.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 27, -1, 1600, 78679.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 28, -1, 1600, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 29, -1, 1600, 78681.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 30, -1, 1600, 78680.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 31, -1, 1600, 78681.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 32, -1, 1600, 78680.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 33, -1, 1600, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 34, -1, 1600, 78680.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 35, -1, 1600, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 36, -1, 1600, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 37, -1, 1600, 78671.000000
./problems/s300, 0.600000, 0.003333, 1, 1500, 38, -1, 1600, 78680.000000
